name,county,town,official_address
Kishushe Dispensary,Taita Taveta,Werugha,P.O Box 33
Kitobo Dispensary (Taita),Taita Taveta,,
Kitobo Dispensary (Taveta),Taita Taveta,Taveta,P.O Box P.O. Box 31
Kiwalwa Dispensary,Taita Taveta,,P.O Box P.O. Box 31
Kerer Dispensary,Elgeyo Marakwet,,
Yatoi,Elgeyo Marakwet,,
Mbaga Dispensary,Taita Taveta,Mwatate,
Mbale Health Centre,Taita Taveta,Wundanyi,P.O Box 1216
Mbulia Dispensary,Taita Taveta,Voi,P.O Box Kitivo
MCK Kiirigu Dispensary,Tharaka Nithi,Chuka,P.O Box 438
Medicalitech Clinic,Taita Taveta,,
Mgange Dawida Dispensary,Taita Taveta,Mgange,P.O Box 22
Mgange Nyika Health Centre,Taita Taveta,Mgange,P.O Box 212
Miasenyi Dispensary,Taita Taveta,Voi,P.O Box 417
Minugu Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box P.O. Box 10
Modambogho Dispensary,Taita Taveta,wundanyi,P.O Box 1216
Mogil Health Centre,Elgeyo Marakwet,Kapsowar,P.O Box 147
Moi District Hospital Voi,Taita Taveta,Voi,P.O Box 18
Mount View Nursing & Maternity Home,Taita Taveta,Voi,P.O Box 18
Mpinzinyi Health Centre,Taita Taveta,Mwatate,P.O Box 116
Mpukoni Health Centre,Tharaka Nithi,Ikuu-Chuka,P.O Box 44
Mrughua Dispensary,Taita Taveta,Mgange,P.O Box 86
Msau Dispensary,Taita Taveta,Wundanyi,P.O Box 1216
Msekekwa Health Centre,Elgeyo Marakwet,Iten,
Ketigoi Dispensary,Elgeyo Marakwet,,
Kiairugu Dispensary,Tharaka Nithi,Magutni Chogoria,P.O. Box 10
Kiamuriuki Dispensary,Tharaka Nithi,Chuka,P.O Box 8
Kiangachinyi Dispensary,Taita Taveta,Wundanyi,P.O Box 1216
Kiangondu Dispensary,Tharaka Nithi,Chuka,P.O Box 37
Kibendo Dispensary,Elgeyo Marakwet,Iten,P.O Box 332 Iten
Kibigos Dispensary,Elgeyo Marakwet,Kapcherop,P.O Box 39
Kibugua Health Centre,Tharaka Nithi,Chuka,P.O Box 8
Kibunga Sub-District Hospital,Tharaka Nithi,MARIMANTI,P.O Box 5 Marimanti
Koitugum Dispensary,Elgeyo Marakwet,Kapsowar,P.O Box 50
Kiini Health Centre,Tharaka Nithi,Magutni Chogoria,P.O Box P.O. Box 10
Kapyego Health Centre,Elgeyo Marakwet,,
Karandini Dispensary,Tharaka Nithi,Chuka,P.O Box 8
Karandini Medical Clinic,Tharaka Nithi,Chuka,
Kaplenge Dispensary,Elgeyo Marakwet,,
Kapsait Dispensary,Elgeyo Marakwet,Kapcherop,P.O Box 80
Kapsiew Dispensary,Elgeyo Marakwet,,
Kapsiw Dispensary,Elgeyo Marakwet,,
Kapsowar (AIC) Hospital,Elgeyo Marakwet,Kapsowar,P.O Box P.O. Box 68
Kapsowar Dispensary,Elgeyo Marakwet,Kapsowar,P.O Box 59
Kaptabuk Dispensary (Marakwet),Elgeyo Marakwet,,
Kaptalamwa Health Centre,Elgeyo Marakwet,,
Kararia Dispensary,Elgeyo Marakwet,,
Kariakomo Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box P.O. Box 10
Karimba Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box P.O. Box 10
Karuguaru Dispensary,Tharaka Nithi,Marimanti,P.O Box 5
Kasigau Rdch,Taita Taveta,Voi,P.O Box 764
Kathangacini Dispensary,Tharaka Nithi,Marimanti,P.O Box 5
Kathathani Medical Clinic,Tharaka Nithi,Chuka,
Kaunes Medical Centers,Tharaka Nithi,,
